date,symbol,transaction_type,qty,entry_price,initial_sl,entry_time,exit_price,sl_hit,pnl,sl_hit_time,sl_type,cumulative_pnl,cum_max,drawdown
2024-06-10,DAILY_TOTAL,,900,1260.65,1512.78,,1177.3,,12502.5,,Trailing,3304732.5,3450232.5,-145500.0
2024-06-11,DAILY_TOTAL,,900,1111.8,1334.16,,797.45,,47152.5,,Trailing,3351885.0,3450232.5,-98347.5
2024-06-12,DAILY_TOTAL,,900,756.35,907.62,,657.8,,14782.5,,Trailing,3366667.5,3450232.5,-83565.0
2024-06-13,DAILY_TOTAL,,900,617.85,741.42,,450.6,,25087.5,,Trailing,3391755.0,3450232.5,-58477.5
2024-06-14,DAILY_TOTAL,,900,904.55,1085.46,,799.55,,15750.0,,Trailing,3407505.0,3450232.5,-42727.5
2024-06-18,DAILY_TOTAL,,900,756.4,907.68,,663.9,,13875.0,,Trailing,3421380.0,3450232.5,-28852.5
2024-06-19,DAILY_TOTAL,,900,619.8,743.76,,745.6,,-18870.0,,Trailing,3402510.0,3450232.5,-47722.5
2024-06-20,DAILY_TOTAL,,900,575.95,691.14,,467.0,,16342.5,,Trailing,3418852.5,3450232.5,-31380.0
2024-06-21,DAILY_TOTAL,,900,880.7,1056.84,,921.6,,-6135.0,,Trailing,3412717.5,3450232.5,-37515.0
2024-06-24,DAILY_TOTAL,,900,850.45,1020.54,,910.1,,-8947.5,,Trailing,3403770.0,3450232.5,-46462.5
2024-06-25,DAILY_TOTAL,,900,779.1,934.92,,808.9,,-4470.0,,Trailing,3399300.0,3450232.5,-50932.5
2024-06-26,DAILY_TOTAL,,900,709.3,851.16,,723.05,,-2062.5,,Trailing,3397237.5,3450232.5,-52995.0
2024-06-27,DAILY_TOTAL,,900,647.55,777.06,,595.75,,7770.0,,Trailing,3405007.5,3450232.5,-45225.0
2024-06-28,DAILY_TOTAL,,900,1109.5,1331.4,,944.1,,24810.0,,Trailing,3429817.5,3450232.5,-20415.0
2024-07-01,DAILY_TOTAL,,900,999.15,1198.98,,884.5,,17197.5,,Trailing,3447015.0,3450232.5,-3217.5
2024-07-02,DAILY_TOTAL,,900,878.15,1053.78,,742.2,,20392.5,,Trailing,3467407.5,3467407.5,0.0
2024-07-03,DAILY_TOTAL,,900,668.7,802.44,,622.95,,6862.5,,Trailing,3474270.0,3474270.0,0.0
2024-07-04,DAILY_TOTAL,,900,564.9,677.88,,447.75,,17572.5,,Trailing,3491842.5,3491842.5,0.0
2024-07-05,DAILY_TOTAL,,900,835.65,1002.78,,909.8,,-11122.5,,Trailing,3480720.0,3491842.5,-11122.5
2024-07-08,DAILY_TOTAL,,900,804.65,965.58,,750.8,,8077.5,,Trailing,3488797.5,3491842.5,-3045.0
2024-07-09,DAILY_TOTAL,,900,737.3,884.76,,682.4,,8235.0,,Trailing,3497032.5,3497032.5,0.0
2024-07-10,DAILY_TOTAL,,900,641.65,769.98,,795.05,,-23010.0,,Trailing,3474022.5,3497032.5,-23010.0
2024-07-11,DAILY_TOTAL,,900,545.05,654.06,,433.75,,16695.0,,Trailing,3490717.5,3497032.5,-6315.0
2024-07-12,DAILY_TOTAL,,900,878.6,1054.32,,1065.15,,-27982.5,,Trailing,3462735.0,3497032.5,-34297.5
2024-07-15,DAILY_TOTAL,,900,787.2,944.64,,730.35,,8527.5,,Trailing,3471262.5,3497032.5,-25770.0
2024-07-16,DAILY_TOTAL,,900,712.9,855.48,,574.1,,20820.0,,Trailing,3492082.5,3497032.5,-4950.0
2024-07-18,DAILY_TOTAL,,900,588.3,705.96,,727.25,,-20842.5,,Trailing,3471240.0,3497032.5,-25792.5
2024-07-19,DAILY_TOTAL,,900,1442.95,1731.54,,1536.9,,-14092.5,,Trailing,3457147.5,3497032.5,-39885.0
2024-07-22,DAILY_TOTAL,,900,1530.5,1836.6,,1362.5,,25200.0,,Trailing,3482347.5,3497032.5,-14685.0
2024-07-23,DAILY_TOTAL,,900,1339.55,1607.46,,1670.7,,-49672.5,,Trailing,3432675.0,3497032.5,-64357.5
2024-07-24,DAILY_TOTAL,,900,803.05,963.66,,619.55,,27525.0,,Trailing,3460200.0,3497032.5,-36832.5
2024-07-25,DAILY_TOTAL,,900,574.1,688.92,,556.3,,2670.0,,Trailing,3462870.0,3497032.5,-34162.5
2024-07-26,DAILY_TOTAL,,900,1024.2,1229.04,,1230.45,,-30937.5,,Trailing,3431932.5,3497032.5,-65100.0
2024-07-29,DAILY_TOTAL,,900,858.4,1030.08,,787.6,,10620.0,,Trailing,3442552.5,3497032.5,-54480.0
2024-07-30,DAILY_TOTAL,,900,829.25,995.1,,709.2,,18007.5,,Trailing,3460560.0,3497032.5,-36472.5
2024-07-31,DAILY_TOTAL,,900,674.1,808.92,,679.15,,-757.5,,Trailing,3459802.5,3497032.5,-37230.0
2024-08-01,DAILY_TOTAL,,900,590.25,708.3,,438.5,,22762.5,,Trailing,3482565.0,3497032.5,-14467.5
2024-08-02,DAILY_TOTAL,,900,983.65,1180.38,,1105.4,,-18262.5,,Trailing,3464302.5,3497032.5,-32730.0
2024-08-05,DAILY_TOTAL,,900,972.55,1167.06,,1171.95,,-29910.0,,Trailing,3434392.5,3497032.5,-62640.0
2024-08-06,DAILY_TOTAL,,900,1177.25,1412.7,,1191.65,,-2160.0,,Trailing,3432232.5,3497032.5,-64800.0
2024-08-07,DAILY_TOTAL,,900,845.4,1014.48,,680.75,,24697.5,,Trailing,3456930.0,3497032.5,-40102.5
2024-08-08,DAILY_TOTAL,,900,677.25,812.7,,483.35,,29085.0,,Trailing,3486015.0,3497032.5,-11017.5
2024-08-09,DAILY_TOTAL,,900,1071.0,1285.2,,961.6,,16410.0,,Trailing,3502425.0,3502425.0,0.0
2024-08-12,DAILY_TOTAL,,900,948.25,1137.9,,815.85,,19860.0,,Trailing,3522285.0,3522285.0,0.0
2024-08-13,DAILY_TOTAL,,900,794.55,953.46,,754.4,,6022.5,,Trailing,3528307.5,3528307.5,0.0
2024-08-14,DAILY_TOTAL,,900,639.9,767.88,,406.55,,35002.5,,Trailing,3563310.0,3563310.0,0.0
2024-08-16,DAILY_TOTAL,,900,1043.85,1252.62,,1079.2,,-5302.5,,Trailing,3558007.5,3563310.0,-5302.5
2024-08-19,DAILY_TOTAL,,900,807.45,968.94,,761.75,,6855.0,,Trailing,3564862.5,3564862.5,0.0
2024-08-20,DAILY_TOTAL,,900,725.15,870.18,,682.6,,6382.5,,Trailing,3571245.0,3571245.0,0.0
2024-08-21,DAILY_TOTAL,,900,625.75,750.9,,578.45,,7095.0,,Trailing,3578340.0,3578340.0,0.0
2024-08-22,DAILY_TOTAL,,900,546.2,655.44,,411.35,,20227.5,,Trailing,3598567.5,3598567.5,0.0
2024-08-23,DAILY_TOTAL,,900,857.35,1028.82,,892.65,,-5295.0,,Trailing,3593272.5,3598567.5,-5295.0
2024-08-26,DAILY_TOTAL,,900,868.85,1042.62,,818.65,,7530.0,,Trailing,3600802.5,3600802.5,0.0
2024-08-27,DAILY_TOTAL,,900,705.7,846.84,,625.0,,12105.0,,Trailing,3612907.5,3612907.5,0.0
2024-08-28,DAILY_TOTAL,,900,579.95,695.94,,544.3,,5347.5,,Trailing,3618255.0,3618255.0,0.0
2024-08-29,DAILY_TOTAL,,900,518.8,622.56,,502.5,,2445.0,,Trailing,3620700.0,3620700.0,0.0
2024-08-30,DAILY_TOTAL,,900,917.0,1100.4,,827.0,,13500.0,,Trailing,3634200.0,3634200.0,0.0
2024-09-02,DAILY_TOTAL,,900,871.0,1045.2,,741.5,,19425.0,,Trailing,3653625.0,3653625.0,0.0
2024-09-03,DAILY_TOTAL,,900,744.1,892.92,,652.55,,13732.5,,Trailing,3667357.5,3667357.5,0.0
2024-09-04,DAILY_TOTAL,,900,680.45,816.54,,605.8,,11197.5,,Trailing,3678555.0,3678555.0,0.0
2024-09-05,DAILY_TOTAL,,900,563.8,676.56,,504.2,,8940.0,,Trailing,3687495.0,3687495.0,0.0
2024-09-06,DAILY_TOTAL,,900,959.75,1151.7,,1165.35,,-30840.0,,Trailing,3656655.0,3687495.0,-30840.0
2024-09-09,DAILY_TOTAL,,900,999.9,1199.88,,855.6,,21645.0,,Trailing,3678300.0,3687495.0,-9195.0
2024-09-10,DAILY_TOTAL,,900,722.4,866.88,,639.1,,12495.0,,Trailing,3690795.0,3690795.0,0.0
2024-09-11,DAILY_TOTAL,,900,637.65,765.18,,689.75,,-7815.0,,Trailing,3682980.0,3690795.0,-7815.0
2024-09-12,DAILY_TOTAL,,900,568.4,682.08,,697.6,,-19380.0,,Trailing,3663600.0,3690795.0,-27195.0
2024-09-13,DAILY_TOTAL,,900,982.75,1179.3,,852.5,,19537.5,,Trailing,3683137.5,3690795.0,-7657.5
2024-09-16,DAILY_TOTAL,,900,874.2,1049.04,,760.0,,17130.0,,Trailing,3700267.5,3700267.5,0.0
2024-09-17,DAILY_TOTAL,,900,802.95,963.54,,746.8,,8422.5,,Trailing,3708690.0,3708690.0,0.0
2024-09-18,DAILY_TOTAL,,900,702.0,842.4,,867.05,,-24757.5,,Trailing,3683932.5,3708690.0,-24757.5
2024-09-19,DAILY_TOTAL,,900,703.0,843.6,,583.4,,17940.0,,Trailing,3701872.5,3708690.0,-6817.5
2024-09-20,DAILY_TOTAL,,900,1022.95,1227.54,,1231.1,,-31222.5,,Trailing,3670650.0,3708690.0,-38040.0
2024-09-23,DAILY_TOTAL,,900,872.35,1046.82,,816.85,,8325.0,,Trailing,3678975.0,3708690.0,-29715.0
2024-09-24,DAILY_TOTAL,,900,835.35,1002.42,,719.95,,17310.0,,Trailing,3696285.0,3708690.0,-12405.0
2024-09-25,DAILY_TOTAL,,900,715.7,858.84,,574.65,,21157.5,,Trailing,3717442.5,3717442.5,0.0
2024-09-26,DAILY_TOTAL,,900,589.8,707.76,,568.0,,3270.0,,Trailing,3720712.5,3720712.5,0.0
2024-09-27,DAILY_TOTAL,,900,978.2,1173.84,,847.95,,19537.5,,Trailing,3740250.0,3740250.0,0.0
2024-09-30,DAILY_TOTAL,,900,981.7,1178.04,,1038.05,,-8452.5,,Trailing,3731797.5,3740250.0,-8452.5
