date,symbol,transaction_type,qty,entry_price,initial_sl,entry_time,exit_price,sl_hit,pnl,sl_hit_time,sl_type
2019-03-13,NIFTY14MAR1911300PE,SELL,150,37.9,45.48,2019-03-13 09:15:00,20.95,Yes,2542.5,2019-03-13 14:40:00,Trailing
2019-03-13,NIFTY14MAR1911500CE,SELL,150,2.85,3.42,2019-03-13 09:15:00,1.6,Yes,187.5,2019-03-13 14:40:00,Trailing
2019-03-13,NIFTY14MAR1911500PE,SELL,150,186.2,223.43999999999997,2019-03-13 09:15:00,154.9,Yes,4695.0,2019-03-13 14:40:00,Trailing
2019-03-13,NIFTY14MAR1911100CE,SELL,150,199.3,239.16,2019-03-13 09:15:00,240.85,Yes,-6232.5,2019-03-13 14:40:00,Trailing
2019-03-13,NIFTY14MAR1911100PE,SELL,150,3.25,3.9,2019-03-13 09:15:00,2.65,Yes,90.0,2019-03-13 14:40:00,Trailing
2019-03-13,DAILY_TOTAL,,900,474.5,569.4,,468.45,,907.5,,Trailing
2019-03-18,NIFTY20MAR1911500CE,SELL,150,55.15,66.17999999999999,2019-03-18 09:15:00,37.15,Yes,2700.0,2019-03-18 12:51:00,Trailing
2019-03-18,NIFTY20MAR1911500PE,SELL,150,75.55,90.66,2019-03-18 09:15:00,77.15,Yes,-240.0,2019-03-18 12:51:00,Trailing
2019-03-18,NIFTY20MAR1911700CE,SELL,150,3.9,4.68,2019-03-18 09:15:00,4.5,Yes,-90.0,2019-03-18 12:51:00,Trailing
2019-03-18,NIFTY20MAR1911700PE,SELL,150,213.75,256.5,2019-03-18 09:15:00,206.1,Yes,1147.5,2019-03-18 12:51:00,Trailing
2019-03-18,NIFTY20MAR1911300CE,SELL,150,189.2,227.04,2019-03-18 09:15:00,165.0,Yes,3630.0,2019-03-18 12:51:00,Trailing
2019-03-18,NIFTY20MAR1911300PE,SELL,150,16.8,20.16,2019-03-18 09:15:00,12.85,Yes,592.5,2019-03-18 12:51:00,Trailing
2019-03-18,DAILY_TOTAL,,900,554.35,665.22,,502.75,,7740.0,,Trailing
2019-03-19,NIFTY20MAR1911450CE,SELL,150,85.75,102.89999999999999,2019-03-19 09:15:00,56.5,Yes,4387.5,2019-03-19 09:23:00,Trailing
2019-03-19,NIFTY20MAR1911450PE,SELL,150,24.8,29.759999999999998,2019-03-19 09:15:00,35.9,Yes,-1665.0,2019-03-19 09:23:00,Trailing
2019-03-19,NIFTY20MAR1911650CE,SELL,150,7.5,9.0,2019-03-19 09:15:00,4.15,Yes,502.5,2019-03-19 09:23:00,Trailing
2019-03-19,NIFTY20MAR1911650PE,SELL,150,136.65,163.98,2019-03-19 14:35:00,90.35,Yes,6945.0,2019-03-19 09:23:00,Trailing
2019-03-19,NIFTY20MAR1911250CE,SELL,150,230.05,276.06,2019-03-19 09:15:00,228.25,Yes,270.0,2019-03-19 09:23:00,Trailing
2019-03-19,NIFTY20MAR1911250PE,SELL,150,5.15,6.180000000000001,2019-03-19 09:15:00,5.1,Yes,7.5,2019-03-19 09:23:00,Trailing
2019-03-19,DAILY_TOTAL,,900,489.9,587.88,,420.25,,10447.5,,Trailing
2019-03-20,NIFTY20MAR1911500CE,SELL,150,51.0,61.199999999999996,2019-03-20 09:15:00,24.45,Yes,3982.5,2019-03-20 14:44:00,Trailing
2019-03-20,NIFTY20MAR1911500PE,SELL,150,10.0,12.0,2019-03-20 09:15:00,1.4,Yes,1290.0,2019-03-20 14:44:00,Trailing
2019-03-20,NIFTY20MAR1911700CE,SELL,150,0.65,0.78,2019-03-20 09:15:00,0.05,Yes,90.0,2019-03-20 14:44:00,Trailing
2019-03-20,NIFTY20MAR1911700PE,SELL,150,157.05,188.46,2019-03-20 09:15:00,163.6,Yes,-982.5,2019-03-20 14:44:00,Trailing
2019-03-20,NIFTY20MAR1911300CE,SELL,150,243.35,292.02,2019-03-20 09:15:00,219.9,Yes,3517.5,2019-03-20 14:44:00,Trailing
2019-03-20,NIFTY20MAR1911300PE,SELL,150,0.4,0.48,2019-03-20 09:15:00,0.05,Yes,52.5,2019-03-20 14:44:00,Trailing
2019-03-20,DAILY_TOTAL,,900,462.45,554.94,,409.45,,7950.0,,Trailing
2019-03-22,NIFTY28MAR1911550CE,SELL,150,82.1,98.52,2019-03-22 09:15:00,82.95,Yes,-127.5,2019-03-22 09:29:00,Trailing
2019-03-22,NIFTY28MAR1911550PE,SELL,150,70.0,84.0,2019-03-22 09:15:00,64.5,Yes,825.0,2019-03-22 09:29:00,Trailing
2019-03-22,NIFTY28MAR1911750CE,SELL,150,16.7,20.04,2019-03-22 09:15:00,12.5,Yes,630.0,2019-03-22 09:29:00,Trailing
2019-03-22,NIFTY28MAR1911750PE,SELL,150,185.65,222.78,2019-03-22 09:15:00,275.0,Yes,-13402.5,2019-03-22 09:29:00,Trailing
2019-03-22,NIFTY28MAR1911350CE,SELL,150,230.0,276.0,2019-03-22 09:15:00,242.0,Yes,-1800.0,2019-03-22 09:29:00,Trailing
2019-03-22,NIFTY28MAR1911350PE,SELL,150,11.0,13.2,2019-03-22 09:15:00,16.45,Yes,-817.5,2019-03-22 09:29:00,Trailing
2019-03-22,DAILY_TOTAL,,900,595.45,714.54,,693.4,,-14692.5,,Trailing
2019-03-26,NIFTY28MAR1911350CE,SELL,150,69.2,83.04,2019-03-26 09:15:00,74.1,Yes,-735.0,2019-03-26 09:43:00,
2019-03-26,NIFTY28MAR1911350PE,SELL,150,42.8,51.35999999999999,2019-03-26 09:15:00,29.7,Yes,1965.0,2019-03-26 09:43:00,
2019-03-26,NIFTY28MAR1911550CE,SELL,150,8.0,9.6,2019-03-26 09:15:00,8.7,Yes,-105.0,2019-03-26 09:43:00,
2019-03-26,NIFTY28MAR1911550PE,SELL,150,166.45,199.73999999999998,2019-03-26 09:15:00,153.5,Yes,1942.5,2019-03-26 09:43:00,
2019-03-26,NIFTY28MAR1911150CE,SELL,150,226.85,272.21999999999997,2019-03-26 09:21:00,355.0,Yes,-19222.5,2019-03-26 09:43:00,
2019-03-26,NIFTY28MAR1911150PE,SELL,150,7.2,8.64,2019-03-26 09:15:00,4.1,Yes,465.0,2019-03-26 09:43:00,Trailing
2019-03-26,DAILY_TOTAL,,900,520.5,624.6,,625.1,,-15690.0,,Trailing
